domain,operation,system,nanoseconds,std_dev_nanoseconds,values,bytes,mib_per_second,relative_to_vps
ASN.1 DER,parse,VPS,211659,4858,1024,183774,828.0325609742189,1.0
ASN.1 DER,parse,rasn,238274,4875,1024,183774,735.5420390946649,0.8883008637115254
ASN.1 DER,parse,RustCrypto-der,312798,6827,1024,183774,560.2994386896406,0.6766635336543072
ASN.1 DER,serialize,VPS,139473,1952,1024,183774,1256.5911955951487,1.0
ASN.1 DER,serialize,rasn,427604,41762,1024,183774,409.86647417527007,0.3261732818214984
ASN.1 DER,serialize,RustCrypto-der,215487,3372,1024,183774,813.3230488300557,0.6472455414943825
ASN.1 BER common,parse,VPS,285350,2981,1024,186321,622.7073849908144,1.0
ASN.1 BER common,parse,rasn,265804,4995,1024,186321,668.4984135194688,1.0735353869768702
ASN.1 BER common,parse,RustCrypto-ber,461178,8115,1024,186321,385.2949453510985,0.6187415704998938
ASN.1 BER comprehensive,parse,VPS,308833,5381,1024,187285,578.3348746673591,1.0
ASN.1 BER comprehensive,parse,rasn,282145,3395,1024,187285,633.0393746057684,1.0945896613443442
ASN.1 BER normalized output,serialize,VPS,132756,1835,1024,183774,1320.1704165780998,1.0
ASN.1 BER normalized output,serialize,rasn,418917,5708,1024,183774,418.36579518912384,0.31690287097444125
CMS ContentInfo DER,parse,VPS,90885,1182,1024,282954,2969.092397253827,1.0
CMS ContentInfo DER,parse,rasn-cms,104096,1483,1024,282954,2592.2798428797846,0.8730883031048263
CMS ContentInfo DER,parse,RustCrypto-cms,91048,1061,1024,282954,2963.7769366094153,0.9982097355241192
CMS ContentInfo DER,parse,cryptographic-message-syntax,87662,1438,1024,282954,3078.254688741006,1.03676621569209
CMS ContentInfo DER,serialize,VPS,40859,1680,1024,282954,6604.321263966667,1.0
CMS ContentInfo DER,serialize,rasn-cms,216059,97623,1024,282954,1248.945716329401,0.18911038188642917
CMS ContentInfo DER,serialize,RustCrypto-cms,40257,861,1024,282954,6703.081762784462,1.0149539210572074
CMS ContentInfo DER,serialize,cryptographic-message-syntax,12325,367,1024,282954,21894.195742345968,3.315131845841785
CMS NIST PKITS,parse,VPS,1575572,44854,223,954515,577.756167363035,1.0
CMS NIST PKITS,parse,rasn-cms,2162055,563109,223,954515,421.0329710042121,0.7287381680854558
CMS NIST PKITS,parse,RustCrypto-cms,2038021,29652,223,954515,446.6570462838762,0.7730891879916841
CMS EC DSS CAdES,parse,VPS,1036780,14910,74,11400481,10486.647046024655,1.0
CMS EC DSS CAdES,parse,rasn-cms,2159172,34638,74,11400481,5035.423729270962,0.4801748077503784
CMS EC DSS CAdES,parse,RustCrypto-cms,2141196,38644,74,11400481,5077.69766260419,0.48420602317583256
CMS RFC 4134,parse,VPS,15419,724,7,8332,515.3391532717345,1.0
CMS RFC 4134,parse,rasn-cms,19428,619,7,8332,408.99806487012944,0.7936483425983117
CMS RFC 4134,parse,RustCrypto-cms,19823,190,7,8332,400.84822702400623,0.7778338293901024
CMS combined real corpus,parse,VPS,2643073,31296,304,12363328,4460.939360701066,1.0
CMS combined real corpus,parse,rasn-cms,4337498,52069,304,12363328,2718.292522303468,0.6093542867339651
CMS combined real corpus,parse,RustCrypto-cms,4204406,68491,304,12363328,2804.341060046592,0.6286436181472483
CMS NIST PKITS,serialize,VPS,992199,16597,223,954515,917.4534948377409,1.0
CMS NIST PKITS,serialize,rasn-cms,4534329,117775,223,954515,200.75659267876497,0.21881936665822
CMS NIST PKITS,serialize,RustCrypto-cms,964146,21215,223,954515,944.1479196351089,1.0290962157183663
CMS EC DSS CAdES,serialize,VPS,979874,16799,74,11399694,11094.891162221296,1.0
CMS EC DSS CAdES,serialize,rasn-cms,4771854,111807,74,11399694,2278.274939403098,0.20534450551085595
CMS EC DSS CAdES,serialize,RustCrypto-cms,1044077,32056,74,11399694,10412.637557086719,0.9385074089363141
CMS RFC 4134,serialize,VPS,9233,122,7,8322,859.5773487634369,1.0
CMS RFC 4134,serialize,rasn-cms,38701,563,7,8322,205.07164313926805,0.2385726467016356
CMS RFC 4134,serialize,RustCrypto-cms,8278,700,7,8322,958.74337534825,1.1153660304421358
CMS combined real corpus,serialize,VPS,1977924,44527,304,12362531,5960.708450110355,1.0
CMS combined real corpus,serialize,rasn-cms,8971965,211963,304,12362531,1314.0742636062528,0.22045605394136067
CMS combined real corpus,serialize,RustCrypto-cms,1975058,64092,304,12362531,5969.358014031018,1.001451096626023
